Draft Number,Round Number,Player,Team,Conference,Position,Team Name,Owner Name,Season,Player ID,Player Birth Place,Player Birth Country,Player Height (in),Player Weight (lbs),Player DOB,Player Age,Fantasy Points,G,A,+/-,PTS,PIM,PPG,PPA,SHG,SHA,GWG,FOW,FOL,25,TTOI,ATOI,SOG,30,HIT,BLK,GP,STPG,STPA,STP,PPP,SHP,HAT,GS,W,L,SA,GA,SV,SO,MIN,OTL,GAA,SV%,12,DEF,99,5
1,1,Sidney Crosby,PIT,Eastern,C,Yo Yo Aro,Brian Duong,20142015,3114.0,,CAN,,,,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1,Roberto Luongo,FLA,Eastern,G,Team lam,bryan lam,20142015,551.0,,CAN,,,,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1,Steven Stamkos,TB,Eastern,C,Kitty City,Brandon Nguyen,20142015,5037.0,,CAN,,,,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,Claude Giroux,PHI,Eastern,C,Grand Line Strawhats,Nam Le,20142015,3775.0,,CAN,,,,27.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1,Ryan Getzlaf,ANA,Western,C,UNLIMITED BLADE WORKS,Maanik Bhandari,20142015,5042.0,,CAN,,,,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2,Erik Karlsson,OTT,Eastern,D,UNLIMITED BLADE WORKS,Maanik Bhandari,20142015,5164.0,,SWE,,,,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2,Anze Kopitar,LA,Western,C,Grand Line Strawhats,Nam Le,20142015,3183.0,,SVN,,,,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2,Evgeni Malkin,PIT,Eastern,C,Kitty City,Brandon Nguyen,20142015,3124.0,,RUS,,,,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2,Eddie Lack,VAN,Western,G,Team lam,bryan lam,20142015,3151.0,,SWE,,,,27.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,2,Corey Perry,ANA,Western,RW,Yo Yo Aro,Brian Duong,20142015,3009.0,,CAN,,,,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,3,Patrick Kane,CHI,Western,RW,Yo Yo Aro,Brian Duong,20142015,3735.0,,USA,,,,27.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,3,John Tavares,NYI,Eastern,C,Team lam,bryan lam,20142015,5160.0,,CAN,,,,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,3,Alex Ovechkin,WSH,Eastern,RW,Kitty City,Brandon Nguyen,20142015,3101.0,,RUS,,,,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,3,Tyler Seguin,DAL,Western,C,Grand Line Strawhats,Nam Le,20142015,5430.0,,CAN,,,,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,3,Jonathan Toews,CHI,Western,C,UNLIMITED BLADE WORKS,Maanik Bhandari,20142015,3835.0,,CAN,,,,27.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,4,P.K. Subban,MON,Eastern,D,UNLIMITED BLADE WORKS,Maanik Bhandari,20142015,3540.0,,CAN,,,,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
